track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1961_04,billboard,1961,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_4_Roy Orbison_Crying_vocals.mp3,1961_4_Roy Orbison_Crying_vocals.mp3,Roy Orbison,Crying,pending,,,,,
billboard_1961_05,billboard,1961,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1961_5_Del Shannon_Runaway_vocals.mp3,1961_5_Del Shannon_Runaway_vocals.mp3,Del Shannon,Runaway,pending,,,,,
billboard_1962_01,billboard,1962,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_1_Acker Bilk_Stranger on the Shore_vocals.mp3,1962_1_Acker Bilk_Stranger on the Shore_vocals.mp3,Acker Bilk,Stranger on the Shore,pending,,,,,
billboard_1962_02,billboard,1962,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_2_Ray Charles_I Can't Stop Loving You_vocals.mp3,1962_2_Ray Charles_I Can't Stop Loving You_vocals.mp3,Ray Charles,I Can't Stop Loving You,pending,,,,,
billboard_1962_03,billboard,1962,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_3_Dee Dee Sharp_Mashed Potato Time_vocals.mp3,1962_3_Dee Dee Sharp_Mashed Potato Time_vocals.mp3,Dee Dee Sharp,Mashed Potato Time,pending,,,,,
billboard_1962_04,billboard,1962,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_4_Bobby Vinton_Roses Are Red (My Love)_vocals.mp3,1962_4_Bobby Vinton_Roses Are Red (My Love)_vocals.mp3,Bobby Vinton,Roses Are Red (My Love),pending,,,,,
billboard_1962_05,billboard,1962,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_5_David Rose_The Stripper_vocals.mp3,1962_5_David Rose_The Stripper_vocals.mp3,David Rose,The Stripper,pending,,,,,
billboard_1963_01,billboard,1963,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_1_The Beach Boys_Surfin' USA_vocals.mp3,1963_1_The Beach Boys_Surfin' USA_vocals.mp3,The Beach Boys,Surfin' USA,pending,,,,,
billboard_1963_02,billboard,1963,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_2_Skeeter Davis_The End of the World_vocals.mp3,1963_2_Skeeter Davis_The End of the World_vocals.mp3,Skeeter Davis,The End of the World,pending,,,,,
billboard_1963_03,billboard,1963,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_3_The Cascades_Rhythm of the Rain_vocals.mp3,1963_3_The Cascades_Rhythm of the Rain_vocals.mp3,The Cascades,Rhythm of the Rain,pending,,,,,
billboard_1963_04,billboard,1963,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_4_The Chiffons_He's So Fine_vocals.mp3,1963_4_The Chiffons_He's So Fine_vocals.mp3,The Chiffons,He's So Fine,pending,,,,,
billboard_1963_05,billboard,1963,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_5_Bobby Vinton_Blue Velvet_vocals.mp3,1963_5_Bobby Vinton_Blue Velvet_vocals.mp3,Bobby Vinton,Blue Velvet,pending,,,,,
billboard_1964_01,billboard,1964,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_1_The Beatles_I Want to Hold Your Hand_vocals.mp3,1964_1_The Beatles_I Want to Hold Your Hand_vocals.mp3,The Beatles,I Want to Hold Your Hand,pending,,,,,
billboard_1964_02,billboard,1964,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_2_The Beatles_She Loves You_vocals.mp3,1964_2_The Beatles_She Loves You_vocals.mp3,The Beatles,She Loves You,pending,,,,,
billboard_1964_03,billboard,1964,03,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_3_Louis Armstrong_Hello, Dolly!_vocals.mp3","1964_3_Louis Armstrong_Hello, Dolly!_vocals.mp3",Louis Armstrong,"Hello, Dolly!",pending,,,,,
billboard_1964_04,billboard,1964,04,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_4_Roy Orbison_Oh, Pretty Woman_vocals.mp3","1964_4_Roy Orbison_Oh, Pretty Woman_vocals.mp3",Roy Orbison,"Oh, Pretty Woman",pending,,,,,
billboard_1964_05,billboard,1964,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_5_The Beach Boys_I Get Around_vocals.mp3,1964_5_The Beach Boys_I Get Around_vocals.mp3,The Beach Boys,I Get Around,pending,,,,,
billboard_1965_01,billboard,1965,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_1_Sam the Sham and the Pharaohs_Wooly Bully_vocals.mp3,1965_1_Sam the Sham and the Pharaohs_Wooly Bully_vocals.mp3,Sam the Sham and the Pharaohs,Wooly Bully,pending,,,,,
